Neighborhood,E Rating,M Rating,H Rating
North Beach/Greenwood, 7, 7.5, 7
North Gate/Lake City, 8, 6.7, 7
Ballard, 7, 6.8, 7
Fremont/Phinney Ridge, 8, 7.5, 8
Olympic Hills, 8, 6, 7
University District, 8, 7.5, 8
Magnolia, 7.5, 7.4, 9
Queen Anne/Cascade, 5, 5, 5
Capitol Hill/Seattle Metro, 9, 8, 8
Downtown, 8, 7, 6.5
Central Seattle, 9, 7.5, 7
West Seattle, 8.5, 7, 8.5
Delridge, 8.5, 6.5, 5.5
Georgetown, 7.5, 7, 8.5
Beacon Hill, 7.5, 7.3, 6.5
Rainier Valley, 6, 6, 6
Tukwila, 3, 3, 3
Renton, 4.5, 4, 3.5
Snoqualmie, 7, 7, 9
Burien, 4.5, 4.7, 5.6
Federal Way, 5, 4, 5
Kent, 3.8, 3.8, 5.6
Auburn, 6, 3, 6
Issaquah, 8, 7.7, 8.5
Bellevue, 7.3, 7.5, 8.7
Redmond, 8, 8.5, 7.5
Kirkland, 7.9, 8.3, 7
Shoreline, 7.8, 6.75, 7.5
Edmonds, 7.1, 6.75, 7.5
Lynnwood, 5.6, 5, 6.3
Mountlake Terrace, 6, 5.7, 6.3
Newcastle, 8.3, 7.7 , 8.3
Fairwood, 6.3, 5.9, 5.9
Mercer Island, 9, 8.5, 9
Bainbridge Island, 8.3, 7, 10
