Neighborhood, Distance to nearest good hospital
North Beach/Greenwood, 2.3
North Gate/Lake City, 1.0
Ballard, 4.4
Fremont/Phinney Ridge, 5.1
Olympic Hills, 2.7
University District, 4.6
Magnolia, 4.6
Queen Anne/Cascade, 2.9
Capitol Hill/Seattle Metro, 1.4
Downtown, 0.0
Central Seattle, 1.7
West Seattle, 6.4
Delridge, 7.7
Georgetown, 5.4
Beacon Hill, 4.8
Rainier Valley, 6.5
Tukwila, 10.8
Renton, 13.8
Snoqualmie, 0
Burien, 8
Federal Way, 0
Kent, 1
Auburn, 5
Issaquah, 0
Bellevue, 0
Redmond, 1
Kirkland, 8
Shoreline, 9
Edmonds, 12
Lynnwood, 0
Mountlake Terrace, 2
Newcastle, 5
Fairwood, 6
Mercer Island, 4
Bainbridge Island, 20
